               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029924,                   0,             0.07408,            0.039394,            0.016753,           0.0043513,             0.10104,            0.021288,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.090118,            0.036201,                   0,             0.12123,             0.17576,            0.058856,            0.017476,            0.085228,            0.022783,                   0,            0.046705,           0.0057053,           0.0057053
                   2,            0.077117,            0.033475,                   0,             0.15608,             0.23539,             0.09361,            0.027861,            0.082645,            0.026682,                   0,            0.019313,           0.0083126,           0.0083126
                   3,            0.069715,            0.031987,                   0,             0.18587,             0.29697,             0.12227,            0.037795,            0.078521,            0.025468,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.064247,            0.032068,                   0,              0.5378,             0.43369,             0.45035,             0.16718,            0.060316,            0.022044,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.056682,            0.028715,                   0,             0.32123,             0.45152,             0.29269,            0.098515,            0.066247,            0.020593,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.052759,            0.026903,                   0,             0.66881,             0.53939,             0.60214,             0.24641,            0.055032,             0.01728,                   0,             0.00835,             0.00835,             0.00835
                   7,              0.0507,            0.027656,                   0,              0.7991,             0.56651,             0.65313,             0.30849,            0.048671,            0.016923,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.048174,            0.025405,                   0,             0.65473,             0.59697,             0.61371,             0.25477,            0.051884,            0.016862,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.046348,            0.026459,                   0,             0.76315,             0.61515,             0.67749,             0.33354,            0.047074,            0.017146,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.044309,            0.024702,                   0,             0.78051,             0.62424,             0.69788,             0.36035,            0.044538,            0.016973,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.041972,            0.024496,                   0,             0.86033,             0.60303,             0.72936,             0.37934,            0.043909,            0.016704,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.042563,            0.025467,                   0,             0.80507,             0.63939,             0.72566,             0.35788,             0.04476,            0.016529,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.039273,            0.023178,                   0,             0.80124,             0.60909,             0.71323,              0.3829,              0.0429,            0.016924,                   0,             0.00604,             0.00604,             0.00604
                  14,             0.03809,            0.022628,                   0,              0.7999,             0.64202,             0.73079,             0.38475,            0.042326,            0.016623,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.037633,            0.023517,                   0,             0.79429,             0.66061,             0.73743,             0.40805,            0.041132,            0.015855,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.038014,            0.022485,                   0,              0.7804,             0.66061,             0.71824,             0.40708,            0.040849,            0.015913,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037101,            0.023133,                   0,             0.74336,             0.68485,             0.72293,             0.41114,             0.04067,            0.016679,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.03489,            0.022674,                   0,             0.83511,             0.66061,             0.74793,             0.42707,            0.040572,            0.016272,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.03513,            0.023582,                   0,             0.81101,             0.64545,             0.74502,             0.42846,            0.040526,            0.016005,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.033945,            0.023019,                   0,             0.78738,             0.68485,              0.7374,             0.42382,            0.041024,            0.015908,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.034203,              0.0223,                   0,             0.82424,             0.65758,             0.74344,             0.44831,            0.038623,            0.015906,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.032567,            0.021618,                   0,             0.78107,              0.6697,             0.75202,             0.44807,            0.038342,            0.015724,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.031768,            0.020588,                   0,             0.78583,             0.65455,             0.74828,             0.45149,            0.038448,            0.015878,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.03304,            0.020965,                   0,             0.81395,             0.66667,             0.75858,             0.45241,            0.038065,            0.015534,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.032044,             0.02188,                   0,             0.79396,             0.67879,             0.75623,             0.43579,            0.038544,            0.015791,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.030689,             0.01971,                   0,             0.85078,             0.64848,             0.76301,             0.45137,            0.037839,            0.015641,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.031932,            0.021205,                   0,             0.82828,             0.64545,             0.75114,             0.45621,            0.038026,            0.015488,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03062,            0.020231,                   0,             0.80425,             0.65986,             0.76265,             0.46313,            0.037261,            0.015571,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.028764,            0.019415,                   0,             0.79704,             0.67879,             0.76309,             0.47034,            0.037404,            0.015505,                   0,             0.00076,             0.00076,             0.00076
